stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
48127,50.319157,-4.898882,193730.0,50600.0,1.723,0.078,1.5,0.173,0.6,level,Stage,m
F2540,54.229768,-0.8724609999999999,473600.0,482150.0,4.249,0.024,2.6,0.078,0.539,level,Stage,m
720101,53.978695,-2.677098,355690.0,453840.0,1.117,-1.0,0.6000000000000001,0.1,0.198,level,Stage,m
52130,50.873685,-2.566002,360271.0,108396.0,2.342,0.0,1.1,0.039,0.288,level,Stage,m
4180_w2TH,51.419659,-0.18127,526560.0,170530.0,1.164,-0.044,1.7000000000000002,0.058,0.032,level,Stage,mASD
4205,52.765357,-1.214327,453110.0,318930.0,1.103,0.011,0.5,0.026,0.117,level,Stage,mASD
5362TH,51.650298,-0.1640589999999999,527113.0,196208.0,0.984,-0.002,1.1,0.041,0.143,level,Stage,mASD
45215,50.796646,-3.183491,316687.0,100344.0,2.256,0.042,0.75,0.062,0.203,level,Stage,mASD
2139,51.885938,-2.052672,396471.0,220822.0,2.657,0.268,0.449,0.28,0.488,level,Stage,mASD
4094,52.496238,-1.688419,421250.0,288750.0,2.337,0.376,1.275,0.617,0.906,level,Stage,mASD
E13271,50.989153,-1.4851800000000002,436230.0,121210.0,1.319,0.01,0.76,0.065,0.458,level,Stage,mASD
2852TH,51.702625,-0.614039,495873.0,201341.0,0.678,0.295,0.7000000000000001,0.256,0.369,level,Stage,mASD
2635,51.890714,-2.066105,395547.0,221354.0,4.4,0.0,0.2,0.0,-0.011,level,Stage,mASD
024013,54.619954,-1.7924449999999998,413500.0,525000.0,1.556,-0.013,0.65,0.047,0.199,level,Stage,m
724629,54.081344,-2.722026,352860.0,465290.0,8.168,0.12,3.6,0.28,2.301,level,Stage,m
2882TH,51.529235,-0.488741,504930.0,182230.0,1.402,0.211,0.8,0.274,0.569,level,Stage,mASD
722242,54.420034,-2.599286,361210.0,502900.0,5.618,0.119,2.7,0.215,1.758,level,Stage,m
47133,50.766235,-4.425512,229050.0,99100.0,2.425,0.012,1.4,0.077,0.752,level,Stage,m
E62201,52.451684,0.1639729999999999,547150.0,285950.0,1.65,0.2,1.156,0.6990000000000001,0.968,level,Stage,mAOD
2150TH,51.435635,-1.201665,455590.0,171040.0,0.849,-0.176,0.65,0.019,0.159,level,Stage,mASD
2219TH,51.427238,-1.724504,419250.0,169840.0,0.812,0.005,0.857,0.047,0.229,level,Stage,mASD
2180TH,51.468325,-1.08539,463627.0,174770.0,1.954,0.8220000000000001,1.56,1.072,1.453,level,Stage,mASD
50152,51.1339,-4.153117,249451.0,139386.0,1.599,-0.099,0.65,-0.065,0.23,level,Stage,m
2227,52.309779,-2.59384,359610.0,268130.0,3.54,0.08,2.0,0.11,0.132,level,Stage,mASD
F2220,54.133486,-1.537861,430294.0,470949.0,1.897,0.016,1.75,0.03,0.422,level,Stage,m
44221,50.790604,-2.41643,370743.0,99087.0,1.044,0.05,0.63,0.08,0.143,level,Stage,m
3660TH,51.488753,-0.412558,510312.0,177840.0,1.261,0.028,1.1,0.056,0.185,level,Stage,mASD
50115,50.973061,-3.909695,266017.0,121031.0,3.284,0.16,1.7000000000000002,0.271,1.063,level,Stage,m
4145,52.522794,-1.29766,447750.0,291890.0,1.746,0.08,1.0,0.13,0.395,level,Stage,mASD
712415,53.79678,-2.234811,384630.0,433413.0,1.333,0.296,0.945,0.318,0.49,level,Stage,m
E21050,52.798728,0.4905589999999999,568006.0,325260.0,0.499,0.071,0.292,0.15,0.158,level,Stage,m
E15240,51.304292,0.18632,552500.0,158400.0,1.102,0.033,0.8,0.072,0.373,level,Stage,mASD
761605,54.616994,-2.818572,347236.0,524959.0,2.711,0.057,1.1,0.147,1.163,level,Stage,m
3110TH,51.440376,-0.512035,503515.0,172315.0,0.367,0.023,0.5,0.048,0.089,level,Stage,mASD
