stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
E4405,53.00001,-0.4279059999999999,505600.0,345900.0,0.733,0.0,0.71,0.04
47171,50.641712,-4.362839,233027.0,85112.0,1.881,0.062,0.961,0.115
E42196,52.315823,1.670054,650235.0,274979.0,2.805,,,
024014,54.62006,-1.868327,408600.0,525000.0,1.0,-0.069,0.6000000000000001,0.0
4058,53.013888,-1.738962,417610.0,346320.0,1.963,0.068,0.351,0.147
L2404,53.952302,-1.078455,460574.0,451084.0,10.195,4.888,7.9,5.052
L1322,53.668661,-1.472656,434939.0,419262.0,1.771,-0.009,1.25,0.003
2201TH,51.460811,-0.963635,472096.0,174047.0,1.021,-0.187,0.3,0.068
2005,52.724474,-2.872198,341190.0,314450.0,7.008,-0.121,4.8,0.287
E73424,54.03183,-2.92025,339820.0,459932.0,,,,
762006,54.667313,-2.659359,357570.0,530450.0,3.417,0.03,2.0,0.152
690350,53.494067,-2.375559,375181.0,399774.0,1.961,0.062,1.79,0.071
E8241,51.041711,-0.097823,533450.0,128650.0,,,,
1502TH,51.708312,-1.232825,453106.0,201343.0,0.6970000000000001,-0.23,0.4,-0.25
F1608,53.85124,-1.842838,410436.0,439458.0,3.015,0.065,1.75,0.212
2228,52.298087,-2.55805,362040.0,266810.0,4.231,0.45,3.0,0.47
L1545,53.914547,-2.144584,390600.0,446500.0,2.008,0.055,1.3,0.114
E22008,52.669401,0.995655,602650.0,312178.0,1.738,-0.035,1.82,0.0
53153,51.554844,-2.092255,393700.0,184000.0,1.407,0.01,0.353,0.039
E22504,52.077093,0.491629,570846.0,245011.0,1.768,0.035,1.43,0.106
50153,51.016893,-3.822486,272260.0,125750.0,2.121,0.0,1.2,0.008
E22885,51.727462,0.441028,568683.0,206014.0,1.299,0.073,0.93,0.032
5522TH,51.583879,0.172001,550580.0,189460.0,1.152,0.277,0.7000000000000001,0.293
L3203,53.739883,-0.330677,510200.0,428350.0,4.34,,,
4146,53.0832,-1.32769,445130.0,354210.0,2.52,0.037,1.0,0.072
2890TH,51.517498,-0.476763,505788.0,180942.0,2.54,0.496,2.15,0.578
E22727,51.997863,0.578311,577098.0,236408.0,2.273,0.0,1.45,0.044
2989TH,51.374167,-0.478479,506000.0,165000.0,1.979,0.672,0.9,0.313
E14530,50.824241,-1.576864,429900.0,102830.0,1.014,0.0,0.37,0.028
