stationReference,latestReading,parameter,qualifier,unitName
45234,0.533,level,Stage,m
L17013,0.104,level,Stage,m
2654,0.593,level,Stage,mASD
3089TH,1.857,level,Stage,mASD
3609TH,0.154,level,Stage,mASD
F1403,0.838,level,Stage,m
E24807,1.269,level,Stage,mASD
2023,0.66,level,Stage,mASD
2617,0.342,level,Stage,mASD
F2708,0.105,level,Stage,m
44115,0.698,level,Stage,mASD
690206,,level,Stage,---
2841TH,0.198,level,Stage,mASD
47115,1.364,level,Stage,m
4039,0.159,level,Stage,mASD
E1140,1.704,level,Stage,mASD
E61101,0.853,level,Stage,mASD
3020TH,0.01,level,Downstream Stage,mASD
768010,0.231,level,Stage,m
50134,0.407,level,Stage,m
4164,0.386,level,Stage,mASD
E1363,1.009,level,Stage,mASD
53134,1.723,level,Stage,m
F2202,1.369,level,Stage,m
2705,0.205,level,Stage,mASD
694042,,level,Stage,---
L2401A,,level,Stage,m
2098,2.859,level,Stage,mASD
023001,1.726,level,Stage,m
43121,102.54,level,Groundwater,mAOD
48174,0.184,level,Stage,m
022017,,level,Stage,---
E22374,2.066,level,Stage,m
46121,1.394,level,Tidal Level,mAOD
L0407,0.487,level,Stage,m
2830,2.454,level,Stage,mASD
49121,0.493,level,Stage,m
45137,0.575,level,Stage,m
L0903,3.956,level,Stage,mAOD
4192TH,1.023,level,Stage,mASD
0008,-1.519,level,Tidal Level,mAOD
48137,1.175,level,Stage,m
E60701,0.204,level,Stage,mASD
4314TH,0.924,level,Stage,mASD
L2325,0.252,level,Stage,m
680504,,level,Stage,---
F1306,,level,Stage,---
45262,,level,Stage,m
E9740,0.806,level,Stage,mAOD
2195TH,,level,Downstream Stage,mASD
E2125,0.729,level,Stage,mASD
L1206,,level,Stage,---
E24835,0.656,level,Tidal Level,mAOD
E13281,0.112,level,Stage,mASD
5039TH,0.171,level,Stage,mASD
024023,,level,Stage,---
1102TH,,level,Stage,---
023039,0.856,level,Stage,m
43159,,level,1,m
4067,,level,Stage,mASD
46159,0.673,level,Stage,m
E1502,0.181,level,Stage,mASD
2490TH,2.137,level,Stage,mASD
44106,0.773,level,Tidal Level,mAOD
700295,0.315,level,Stage,m
4192,1.063,level,Stage,mASD
L2005,2.086,level,Stage,m
692115,,level,Stage,---
E21195,0.317,level,Stage,m
768001,0.474,level,Stage,m
50125,0.917,level,Stage,m
E72039,0.531,level,Tidal Level,mAOD
E72024,1.461,level,Tidal Level,m
4155,0.74,level,Stage,mASD
L3806,0.47,level,Stage,m
2102,0.823,level,Stage,mASD
53125,1.38,level,Stage,m
E2900,0.098,level,Stage,mASD
4118,0.595,level,Stage,mASD
43112,,level,1,m
E15250,0.205,level,Stage,mASD
2486TH,,level,Stage,---
46112,,level,Stage,m
45128,3.867,level,Stage,m
48128,0.459,level,Stage,m
L1605,,level,Stage,---
E1442,2.962,level,Tidal Level,mAOD
E41137,1.113,level,Tidal Level,mAOD
E8190,0.546,level,Stage,mASD
F3707,0.277,level,Stage,m
720102,,level,Stage,m
2698TH,3.706,level,Downstream Stage,mASD
52229,0.372,level,1,m
E71639,1.028,level,Tidal Level,mAOD
E71624,4.698,level,Tidal Level,m
E24367,0.666,level,Stage,mASD
700309,0.793,level,Stage,m
2420_w1TH,,level,Stage,---
1453TH,,level,Stage,---
750604,15.715,level,Stage,m
1483TH,2.059,level,Stage,mASD
E4405,0.075,level,Stage,mASD
45216,0.101,level,Stage,m
47171,0.645,level,Stage,m
024014,,level,Stage,---
E1530,1.876,level,Stage,mASD
L2404,7.382,level,Stage,mAOD
2201TH,2.698,level,Downstream Stage,mASD
E42196,0.158,level,Tidal Level,mAOD
4058,0.412,level,Stage,mASD
2005,4.766,level,Stage,mASD
L1322,0.102,level,Stage,m
762006,1.469,level,Stage,m
E8241,0.391,level,Stage,mASD
F1608,0.692,level,Stage,m
E73424,6.156,level,Tidal Level,m
690350,0.17,level,Stage,m
50153,0.284,level,Stage,m
1502TH,0.031,level,Stage,mASD
2228,0.584,level,Stage,mASD
E22008,0.688,level,Stage,mASD
L1545,,level,Stage,---
E22885,0.491,level,Stage,m
53153,0.502,level,Stage,m
E22504,0.395,level,Stage,m
5522TH,,level,Stage,---
E4976,0.449,level,Stage,mASD
50116,1.984,level,Stage,m
L3203,,level,Downstream Stage,---
4146,0.237,level,Stage,mASD
2890TH,1.163,level,Stage,mASD
E22727,0.769,level,Stage,m
2989TH,0.534,level,Stage,mASD
E14530,0.138,level,Stage,mASD
F1102,0.814,level,Stage,m
E3003,0.229,level,Stage,mASD
4011,1.571,level,Stage,mASD
45119,,level,3,m
E4804,-5.5,level,Tidal Level,mAOD
712170,0.68,level,Stage,m
L2307,1.172,level,Stage,m
L2803,4.526,level,Stage,mAOD
2886TH,0.25,level,Stage,mASD
3369TH,1.139,level,Stage,mASD
3820TH,0.243,level,Stage,mASD
3850TH,0.184,level,Stage,mASD
E1656,,level,Stage,mASD
L1721,0.286,level,Stage,m
3880TH,0.901,level,Stage,mASD
023058,0.392,level,Reservoir Level,m
4086,1.096,level,Stage,mASD
737536,,level,Stage,---
024005,0.434,level,Stage,m
E1521,-0.072,level,Stage,mASD
47125,0.91,level,Stage,m
4049,0.386,level,Stage,mASD
E26141,29.486,level,Stage,mAOD
694460,0.463,level,Stage,m
E21325,0.218,level,Stage,mASD
L3602,0.759,level,Stage,m
L1907,,level,Stage,---
712221,0.444,level,Stage,m
L2024,,level,Stage,---
5141TH,0.371,level,Stage,mASD
4174,0.234,level,Stage,mASD
5171TH,1.35,level,Stage,mASD
L3491,1.576,level,Tidal Level,mAOD
2601TH,,level,Stage,---
E23327,1.1,level,Tidal Level,mASD
1303TH,3.252,level,Downstream Stage,mASD
2469_w2TH,,level,Downstream Stage,---
4389TH,0.084,level,Stage,mASD
023011,0.595,level,Stage,m
E5320,0.714,level,Stage,mASD
48184,1.038,level,Tidal Level,mAOD
E13810,0.315,level,Stage,mASD
2293TH,,level,Stage,---
E14521,0.389,level,Tidal Level,mAOD
E21042,0.56,level,Stage,m
49131,,level,Stage,m
E4832,0.221,level,Stage,mASD
2813TH,0.004,level,Downstream Stage,mASD
F0605,,level,Stage,---
F2560,0.458,level,Stage,m
E21005,0.144,level,Stage,m
531159,9.708,level,Stage,mAOD
L2200,2.298,level,Stage,m
E10389,0.688,level,Stage,mASD
5280TH,2.827,level,Stage,mASD
52113,0.349,level,Stage,m
45235,0.813,level,Stage,m
021033,0.206,level,Stage,m
E21724,0.213,level,Stage,m
3223TH,1.116,level,Stage,mASD
F3480,0.215,level,Stage,m
2809TH,0.728,level,Stage,mASD
E19031,0.678,level,Stage,mASD
2024,0.29,level,Stage,mASD
2618,1.845,level,Stage,mASD
E23726,0.534,level,Stage,mASD
E2223,0.377,level,Stage,mASD
690207,0.625,level,Stage,m
47116,1.128,level,Stage,m
531112,0.445,level,Stage,m
L1304,,level,Stage,---
067042,,level,Stage,m
L1800,3.143,level,Stage,mAOD
