stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
2258,The Causeway,51.824551,-2.297854,2.286,0.098,0.542,0.162,0.2954479166666666,0.298,0.291,0.313,0.313,0.313,['Stage'],['levelASD']
2261,Zoons Court,51.868901,-2.196147,2.426,0.127,0.844,0.168,0.29164583333333366,0.294,0.289,0.262,0.262,0.262,['Stage'],['levelASD']
2262,Zoons Court Flood Storage,51.868695,-2.195623,2.13,0.106,2.5,0.119,0.2774166666666666,0.28,0.274,0.257,0.257,0.257,['Stage'],['levelASD']
2264TH,Bagnor,51.422436,-1.350461,0.545,0.032,0.2,0.041,0.06542708333333344,0.068,0.064,0.121,0.121,0.121,['Stage'],['levelASD']
2265,Farley Bridge LVL,52.664358,-2.905911,,,,,0.05722916666666658,0.06,0.055,0.144,0.144,0.144,['Stage'],['levelASD']
2267,Puxton,52.394519,-2.253581,4.431,0.406,2.3,0.45,0.6375104166666664,0.681,0.58,0.591,0.591,0.591,['Stage'],['levelASD']
2268,Kingscroft Road,51.85196,-2.18652,1.727,0.301,2.0,0.02,0.263510416666667,0.266,0.262,0.347,0.347,0.347,['Stage'],['levelASD']
2269,Shepherd Road,51.835524,-2.26623,1.03,0.067,1.0,0.055,0.03220833333333334,0.033,0.032,0.037,0.037,0.037,['Stage'],['levelASD']
2270,Field Court Drive,51.819013,-2.28698,0.934,0.0,1.0,0.0,0.08243750000000002,0.086,0.079,0.062,0.062,0.062,['Stage'],['levelASD']
2270_w1TH,Shaw,51.411884,-1.321048,2.1,1.256,2.044,1.29,1.3541874999999977,1.357,1.351,1.431,1.431,1.431,['Stage'],['levelASD']
2272,Armscroft Place,51.863183,-2.221361,1.194,0.0,1.5,0.005,0.0,0.0,0.0,0.04,0.04,0.04,['Stage'],['levelASD']
2273,India Road,51.856617,-2.227456,0.717,0.114,1.0,0.143,0.2260833333333334,0.235,0.215,0.19,0.19,0.19,['Stage'],['levelASD']
2275,Egypt Mill,51.697286,-2.218553,0.638,0.11,1.5,0.273,0.34057291666666695,0.341,0.34,0.358,0.358,0.358,['Stage'],['levelASD']
2275TH,Kingsclere,51.325621,-1.249358,0.357,0.059,0.43,0.08,0.08106250000000005,0.083,0.08,0.158,0.158,0.158,['Stage'],['levelASD']
2276,Sandford Park LVL (Chelt),51.893887,-2.068696,,,,,0.13410416666666655,0.136,0.131,0.143,0.143,0.143,['Stage'],['levelASD']
2277,Cheyney Close,51.848593,-2.220433,1.072,-0.009,1.5,0.012,0.05733333333333329,0.062,0.053,0.044,0.044,0.044,['Stage'],['levelASD']
2279TH,Brimpton,51.379146,-1.185549,1.819,0.033,1.34,0.081,0.20008333333333336,0.212,0.192,0.251,0.251,0.251,['Stage'],['levelASD']
2293TH,Beech Hill,51.385195,-1.002649,2.244,0.5640000000000001,2.0,0.619,0.7798541666666671,0.804,0.75,0.821,0.821,0.821,['Stage'],['levelASD']
2298TH,Blakes Lock,51.456172,-0.954614,0.802,-0.5,0.2,0.0,0.10175,0.13,0.074,0.1,0.1,0.1,['Stage'],['levelASD']
2301TH,Sonning Lock,51.473138,-0.917727,1.05,-0.1,0.257,0.068,0.12932291666666665,0.161,0.102,0.08,0.08,0.08,['Stage'],['levelASD']
2302TH,Shiplake Lock,51.501042,-0.886307,0.967,-0.18,0.3,0.006,0.14346874999999992,0.169,0.102,0.063,0.063,0.063,['Stage'],['levelASD']
2320,Lydbrook,51.85366,-2.578653,7.551,0.32,4.0,0.42,1.1039999999999994,1.104,1.104,1.063,1.063,1.063,['Stage'],['levelASD']
2401TH,Pyotts Bridge,51.278294,-1.045224,1.447,0.975,1.35,0.95,1.0271875000000008,1.03,1.025,1.058,1.058,1.058,['Stage'],['levelASD']
2406TH,Chineham,51.296962,-1.056426,1.273,0.227,1.745,0.258,0.23718750000000002,0.242,0.234,0.257,0.257,0.257,['Stage'],['levelASD']
2409TH,Longbridge Mill,51.3188,-1.019874,0.88,0.156,0.55,0.183,0.24597916666666667,0.263,0.231,0.31,0.31,0.31,['Stage'],['levelASD']
2419TH,Tongham,51.237339,-0.736289,1.79,0.542,1.9,0.5630000000000001,0.6943437500000006,0.718,0.013,0.701,0.701,0.701,['Stage'],['levelASD']
2420_w1TH,Sheepbridge Weir Mill Stream,51.381826,-0.966655,1.36,0.016,0.75,0.157,0.19342708333333347,0.2,0.185,0.228,0.228,0.228,['Stage'],['levelASD']
2420_w2TH,Sheepbridge,51.381826,-0.966655,1.391,0.01,0.89,0.08,0.17171874999999984,0.178,0.164,0.206,0.206,0.206,['Stage'],['levelASD']
