stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
591878,54.529816,-3.545999,300050.0,516050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47168,50.660116,-4.359193,233350.0,87150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1812,51.89986,-2.41343,371650.0,222450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
47158,50.771514,-4.228634,242950.0,99250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
552376,52.965913,-2.459268,369250.0,341050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
43104,51.220377,-1.669896,423150.0,146850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
077800,53.636457,-2.005248,399750.0,415550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
248332TP,51.672207,-1.952948,403350.0,197050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
013336,54.774946,-2.516845,366850.0,542350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3816,53.130665,-1.23847,451050.0,359550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E6270,51.032353,0.577858,580850.0,129050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
031555,54.469846,-1.099639,458450.0,508650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3610,52.655516,-1.302927,447250.0,306650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E1320,51.202399,0.077705,545250.0,146850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
51125,51.193548,-3.612054,287450.0,145050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3686,52.544833,-1.031877,465750.0,294550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E7780,50.80213,0.081187,546750.0,102350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
53159,51.366659,-2.621201,356850.0,163250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
46100,50.390977,-3.70144,279150.0,55950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E2493,52.814,0.01276,535750.0,325950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
239374TP,51.575345,0.0412709999999999,541550.0,188250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
45164,50.614674,-3.380154,302450.0,80350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
600683,54.592579,-2.950962,338650.0,522350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
057426,54.18467,-1.901124,406550.0,476550.0,,,,,0.2,rainfall,Tipping Bucket Raingauge,mm
E11480,51.253545,-1.255547,452050.0,150750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3099,52.807639,-1.889433,407550.0,323350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
074924,53.829697,-1.976406,401650.0,437050.0,,,,,0.2,rainfall,Tipping Bucket Raingauge,mm
