stationReference,latestReading,parameter,qualifier,unitName
E13261,0.0,rainfall,Tipping Bucket Raingauge,mm
50199,0.0,rainfall,Tipping Bucket Raingauge,mm
47159,0.0,rainfall,Tipping Bucket Raingauge,mm
036487,0.0,rainfall,Tipping Bucket Raingauge,mm
E24913,0.0,rainfall,Tipping Bucket Raingauge,mm
E11080,0.0,rainfall,Tipping Bucket Raingauge,mm
592860,0.2,rainfall,Tipping Bucket Raingauge,mm
586056,0.2,rainfall,Tipping Bucket Raingauge,mm
3688,0.0,rainfall,Tipping Bucket Raingauge,mm
53109,0.0,rainfall,Tipping Bucket Raingauge,mm
E21234,0.0,rainfall,Tipping Bucket Raingauge,mm
E24506,0.0,rainfall,Tipping Bucket Raingauge,mm
266474TP,0.0,rainfall,Tipping Bucket Raingauge,mm
48170,0.0,rainfall,Tipping Bucket Raingauge,mm
E37151,0.0,rainfall,Tipping Bucket Raingauge,mm
028185,0.0,rainfall,Tipping Bucket Raingauge,mm
46106,0.0,rainfall,Tipping Bucket Raingauge,mm
246424TP,0.0,rainfall,Tipping Bucket Raingauge,mm
44101,0.0,rainfall,Tipping Bucket Raingauge,mm
003066,0.2,rainfall,Tipping Bucket Raingauge,mm
1687,0.0,rainfall,Tipping Bucket Raingauge,mm
43204,0.0,rainfall,Tipping Bucket Raingauge,mm
3766,0.0,rainfall,Tipping Bucket Raingauge,mm
3576,0.0,rainfall,Tipping Bucket Raingauge,mm
E5670,0.0,rainfall,Tipping Bucket Raingauge,mm
281186TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E5660,0.0,rainfall,Tipping Bucket Raingauge,mm
577805,,rainfall,Tipping Bucket Raingauge,mm
581159,0.0,rainfall,Tipping Bucket Raingauge,mm
1335,0.0,rainfall,Tipping Bucket Raingauge,mm
251556TP,0.0,rainfall,Tipping Bucket Raingauge,mm
041238,0.0,rainfall,Tipping Bucket Raingauge,mm
E22205,0.0,rainfall,Tipping Bucket Raingauge,mm
060947,0.6,rainfall,Tipping Bucket Raingauge,mm
50106,0.0,rainfall,Tipping Bucket Raingauge,mm
E160,0.0,rainfall,Tipping Bucket Raingauge,mm
000075TP,0.0,rainfall,Tipping Bucket Raingauge,mm
598691,0.0,rainfall,Tipping Bucket Raingauge,mm
085322,0.0,rainfall,Tipping Bucket Raingauge,mm
52201,0.0,rainfall,Tipping Bucket Raingauge,mm
253861TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E45811,0.0,rainfall,Tipping Bucket Raingauge,mm
E37291,0.0,rainfall,Tipping Bucket Raingauge,mm
E6280,0.0,rainfall,Tipping Bucket Raingauge,mm
E24751,0.0,rainfall,Tipping Bucket Raingauge,mm
578009,0.0,rainfall,Tipping Bucket Raingauge,mm
E44101,0.0,rainfall,Tipping Bucket Raingauge,mm
50187,0.0,rainfall,Tipping Bucket Raingauge,mm
E46161,0.0,rainfall,Tipping Bucket Raingauge,mm
036704,0.0,rainfall,Tipping Bucket Raingauge,mm
45168,0.0,rainfall,Tipping Bucket Raingauge,mm
265415TP,0.0,rainfall,Tipping Bucket Raingauge,mm
44100,0.0,rainfall,Tipping Bucket Raingauge,mm
E42971,0.0,rainfall,Tipping Bucket Raingauge,mm
46160,0.0,rainfall,Tipping Bucket Raingauge,mm
567866,0.0,rainfall,Tipping Bucket Raingauge,mm
531108,0.0,rainfall,Tipping Bucket Raingauge,mm
018777,0.0,rainfall,Tipping Bucket Raingauge,mm
077256,0.4,rainfall,Tipping Bucket Raingauge,mm
E21288,0.0,rainfall,Tipping Bucket Raingauge,mm
577417,0.0,rainfall,Tipping Bucket Raingauge,mm
276956TP,0.0,rainfall,Tipping Bucket Raingauge,mm
035488,0.0,rainfall,Tipping Bucket Raingauge,mm
45236,0.0,rainfall,Tipping Bucket Raingauge,mm
E7065,0.2,rainfall,Tipping Bucket Raingauge,mm
E4540,0.0,rainfall,Tipping Bucket Raingauge,mm
46108,0.0,rainfall,Tipping Bucket Raingauge,mm
E22876,,rainfall,Tipping Bucket Raingauge,mm
44103,0.0,rainfall,Tipping Bucket Raingauge,mm
256230TP,0.0,rainfall,Tipping Bucket Raingauge,mm
274178TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E2365,0.0,rainfall,Tipping Bucket Raingauge,mm
3652,0.0,rainfall,Tipping Bucket Raingauge,mm
596026,,rainfall,Tipping Bucket Raingauge,---
